event_date,event_name,event_location,fight_id,weight_class,method,method_detail,round,time,fight_time_seconds,time_format,referee,fighter,opponent,result,kd,sig_str_landed,sig_str_attempted,sig_str_pct,total_str_landed,total_str_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec,ss_head_landed,ss_head_attempted,ss_body_landed,ss_body_attempted,ss_leg_landed,ss_leg_attempted,ss_distance_landed,ss_distance_attempted,ss_clinch_landed,ss_clinch_attempted,ss_ground_landed,ss_ground_attempted,r1_kd,r1_sig_str_landed,r1_sig_str_attempted,r1_total_str_landed,r1_total_str_attempted,r1_td_landed,r1_td_attempted,r1_sub_att,r1_rev,r1_ctrl_sec,r1_ss_head_landed,r1_ss_head_attempted,r1_ss_body_landed,r1_ss_body_attempted,r1_ss_leg_landed,r1_ss_leg_attempted,r1_ss_distance_landed,r1_ss_distance_attempted,r1_ss_clinch_landed,r1_ss_clinch_attempted,r1_ss_ground_landed,r1_ss_ground_attempted,r2_kd,r2_sig_str_landed,r2_sig_str_attempted,r2_total_str_landed,r2_total_str_attempted,r2_td_landed,r2_td_attempted,r2_sub_att,r2_rev,r2_ctrl_sec,r2_ss_head_landed,r2_ss_head_attempted,r2_ss_body_landed,r2_ss_body_attempted,r2_ss_leg_landed,r2_ss_leg_attempted,r2_ss_distance_landed,r2_ss_distance_attempted,r2_ss_clinch_landed,r2_ss_clinch_attempted,r2_ss_ground_landed,r2_ss_ground_attempted,r3_kd,r3_sig_str_landed,r3_sig_str_attempted,r3_total_str_landed,r3_total_str_attempted,r3_td_landed,r3_td_attempted,r3_sub_att,r3_rev,r3_ctrl_sec,r3_ss_head_landed,r3_ss_head_attempted,r3_ss_body_landed,r3_ss_body_attempted,r3_ss_leg_landed,r3_ss_leg_attempted,r3_ss_distance_landed,r3_ss_distance_attempted,r3_ss_clinch_landed,r3_ss_clinch_attempted,r3_ss_ground_landed,r3_ss_ground_attempted,r4_kd,r4_sig_str_landed,r4_sig_str_attempted,r4_total_str_landed,r4_total_str_attempted,r4_td_landed,r4_td_attempted,r4_sub_att,r4_rev,r4_ctrl_sec,r4_ss_head_landed,r4_ss_head_attempted,r4_ss_body_landed,r4_ss_body_attempted,r4_ss_leg_landed,r4_ss_leg_attempted,r4_ss_distance_landed,r4_ss_distance_attempted,r4_ss_clinch_landed,r4_ss_clinch_attempted,r4_ss_ground_landed,r4_ss_ground_attempted,r5_kd,r5_sig_str_landed,r5_sig_str_attempted,r5_total_str_landed,r5_total_str_attempted,r5_td_landed,r5_td_attempted,r5_sub_att,r5_rev,r5_ctrl_sec,r5_ss_head_landed,r5_ss_head_attempted,r5_ss_body_landed,r5_ss_body_attempted,r5_ss_leg_landed,r5_ss_leg_attempted,r5_ss_distance_landed,r5_ss_distance_attempted,r5_ss_clinch_landed,r5_ss_clinch_attempted,r5_ss_ground_landed,r5_ss_ground_attempted
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",809814f03ff3140c,Lightweight Bout,KO/TKO,,1,1:31,91,3 Rnd (5-5-5),Rich Mitchell,Nazim Sadykhov,Matheus Camilo,L,0,0,16,0.0,0,16,0,0,0.0,0,0,0,0,10,0,1,0,5,0,16,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,10,0,1,0,5,0,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",809814f03ff3140c,Lightweight Bout,KO/TKO,,1,1:31,91,3 Rnd (5-5-5),Rich Mitchell,Matheus Camilo,Nazim Sadykhov,W,1,4,10,0.4,4,10,0,0,0.0,0,0,3,3,8,0,0,1,2,2,6,0,0,2,4,1,4,10,4,10,0,0,0,0,3,3,8,0,0,1,2,2,6,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",6a35ff33b8597904,Welterweight Bout,Decision - Unanimous,,3,5:00,900,3 Rnd (5-5-5),Rich Mitchell,Farman Hasanov,Eric Nolan,W,0,21,41,0.51,53,87,17,27,0.62,0,0,672,20,39,1,2,0,0,19,37,0,0,2,4,0,1,4,16,23,9,12,0,0,267,1,4,0,0,0,0,0,1,0,0,1,3,0,10,17,18,31,5,11,0,0,213,10,17,0,0,0,0,9,16,0,0,1,1,0,10,20,19,33,3,4,0,0,192,9,18,1,2,0,0,10,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",6a35ff33b8597904,Welterweight Bout,Decision - Unanimous,,3,5:00,900,3 Rnd (5-5-5),Rich Mitchell,Eric Nolan,Farman Hasanov,L,0,15,51,0.29,29,67,0,0,0.0,0,0,3,14,50,1,1,0,0,15,51,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,7,21,11,25,0,0,0,0,3,7,21,0,0,0,0,7,21,0,0,0,0,0,8,25,14,32,0,0,0,0,0,7,24,1,1,0,0,8,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",5e7f4ba1210f433d,Middleweight Bout,Submission,,1,3:58,238,3 Rnd (5-5-5),Marc Goddard,Nursulton Ruziboev,Andrey Pulyaev,W,0,1,3,0.33,13,18,2,2,1.0,1,0,148,0,1,1,2,0,0,1,3,0,0,0,0,0,1,3,13,18,2,2,1,0,148,0,1,1,2,0,0,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",5e7f4ba1210f433d,Middleweight Bout,Submission,,1,3:58,238,3 Rnd (5-5-5),Marc Goddard,Andrey Pulyaev,Nursulton Ruziboev,L,0,2,6,0.33,15,23,0,0,0.0,0,0,0,0,4,2,2,0,0,2,6,0,0,0,0,0,2,6,15,23,0,0,0,0,0,0,4,2,2,0,0,2,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",48b1ee7ab45add4c,Light Heavyweight Bout,KO/TKO,,1,0:08,8,3 Rnd (5-5-5),Jim Perdios,Abdul Rakhman Yakhyaev,Julius Walker,W,1,6,8,0.75,6,8,0,0,0.0,0,0,3,6,8,0,0,0,0,1,1,0,0,5,7,1,6,8,6,8,0,0,0,0,3,6,8,0,0,0,0,1,1,0,0,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",48b1ee7ab45add4c,Light Heavyweight Bout,KO/TKO,,1,0:08,8,3 Rnd (5-5-5),Jim Perdios,Julius Walker,Abdul Rakhman Yakhyaev,L,0,0,1,0.0,0,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",35985895d4ef321e,Middleweight Bout,Submission,,1,3:25,205,3 Rnd (5-5-5),Jim Perdios,Abus Magomedov,Michal Oleksiejczuk,W,1,10,27,0.37,10,27,0,0,0.0,1,0,36,5,20,4,5,1,2,9,25,1,1,0,1,1,10,27,10,27,0,0,1,0,36,5,20,4,5,1,2,9,25,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",35985895d4ef321e,Middleweight Bout,Submission,,1,3:25,205,3 Rnd (5-5-5),Jim Perdios,Michal Oleksiejczuk,Abus Magomedov,L,0,5,19,0.26,5,19,0,0,0.0,0,0,3,1,12,2,4,2,3,5,19,0,0,0,0,0,5,19,5,19,0,0,0,0,3,1,12,2,4,2,3,5,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
